Bee_ID,Diapause_NonDiapause,Sex,Date_emerged,Date_dead,Date_frozen,Thorax_length_mm,Notes,use_lifespan,old_cage_design,,,,
MR123,ND,F,8/16/23,10/13/23,10/13/23,2.19,,Y,N,,,,
MR124,ND,F,8/16/23,10/7/23,10/7/23,2.38,,Y,N,,,,
MR125,ND,F,8/16/23,10/11/23,10/11/23,2.34,,Y,N,,,,
MR126,ND,F,8/16/23,10/2/23,10/2/23,2.32,,Y,N,,,,
MR127,ND,F,8/16/23,8/26/23,NA,2.09,,Y,N,,,,
MR128,ND,F,8/16/23,9/29/23,9/29/23,2.53,,Y,N,,,,
MR129,ND,F,8/16/23,10/16/23,10/16/23,2.41,,Y,N,,,,
MR130,ND,F,8/16/23,10/8/23,10/8/23,2.29,,Y,N,,,,
MR131,ND,M,8/16/23,11/2/23,11/2/23,2.13,,Y,N,,,,
MR132,ND,M,8/16/23,10/21/23,NA,2.38,,Y,N,,,,
MR133,ND,M,8/16/23,10/12/23,10/12/23,2.02,,Y,N,,,,
MR134,ND,M,8/16/23,8/19/23,8/20/23,1.79,,Y,N,,,,
MR135,ND,M,8/16/23,10/27/23,10/27/23,2.09,thought dead 9/28 but was alive 9/29. spent 24h night in office,Y,N,,,,
MR136,ND,M,8/16/23,10/23/23,10/23/23,1.87,,N,N,,,,
MR137,ND,M,8/16/23,10/8/23,10/8/23,NA,specimen not found,N,N,,,,
MR138,ND,M,8/16/23,8/18/23,8/18/23,1.94,,Y,N,,,,
MR139,ND,M,8/16/23,8/19/23,8/20/23,1.59,,Y,N,,,,
MR140,D,F,8/17/23,9/20/23,9/20/23,2.89,,Y,N,,,,
MR141,D,F,8/17/23,8/21/23,8/21/23,2.37,"Labeled as ND and D, actually is D",Y,N,,,,
MR142,ND,F,8/17/23,10/15/23,10/16/23,2.32,,Y,N,,,,
MR143,ND,F,8/17/23,10/4/23,10/4/23,2.45,,Y,N,,,,
MR144,ND,F,8/17/23,10/13/23,10/13/23,2.36,,Y,N,,,,
MR145,ND,F,8/17/23,10/7/23,10/7/23,2.48,,Y,N,,,,
MR146,ND,F,8/17/23,10/8/23,10/8/23,2.35,,Y,N,,,,
MR147,ND,F,8/17/23,10/9/23,10/9/23,2.40,,Y,N,,,,
MR148,ND,F,8/17/23,10/11/23,10/11/23,2.43,,Y,N,,,,
MR149,ND,F,8/17/23,10/10/23,10/10/23,2.60,,Y,N,,,,
MR150,ND,F,8/17/23,10/8/23,10/8/23,2.70,,Y,N,,,,
MR151,ND,F,8/17/23,9/25/23,9/25/23,2.23,,Y,N,,,,
MR152,ND,F,8/17/23,NA,NA,NA,escaped 8/23,N,N,,,,
MR153,ND,F,8/17/23,9/26/23,9/26/23,2.10,,Y,N,,,,
MR154,ND,F,8/17/23,9/12/23,9/12/23,2.06,,Y,N,,,,
MR155,ND,F,8/17/23,10/10/23,10/10/23,2.22,,Y,N,,,,
MR156,ND,F,8/17/23,10/20/23,10/20/23,2.58,,Y,N,,,,
MR157,ND,M,8/17/23,9/18/23,9/18/23,2.31,,Y,N,,,,
MR158,ND,M,8/17/23,10/12/23,10/12/23,2.09,,Y,N,,,,
MR159,ND,M,8/17/23,10/22/23,10/23/23,2.15,,Y,N,,,,
MR160,ND,M,8/16/23,10/21/23,NA,1.12,Duplicate 136 or 137?,N,N,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
